"1","Arongan Lambalek","1"
"2","Bubon","1"
"3","Johan Pahlawan","1"
"4","Kaway XVI","1"
"5","Meureubo","1"
"6","Pante Ceureumen (Pantai Ceuremen)","1"
"7","Panton Reu","1"
"8","Samatiga","1"
"9","Sungai Mas","1"
"10","Woyla","1"
"11","Woyla Barat","1"
"12","Woyla Timur","1"
"13","Babah Rot","2"
"14","Blang Pidie","2"
"15","Jeumpa","2"
"16","Kuala Batee","2"
"17","Lembah Sabil","2"
"18","Manggeng","2"
"19","Setia","2"
"20","Susoh","2"
"21","Tangan-Tangan","2"
"22","Baitussalam","3"
"23","Blank Bintang","3"
"24","Darul Imarah","3"
"25","Darul Kamal","3"
"26","Darussalam","3"
"27","Indrapuri","3"
"28","Ingin Jaya","3"
"29","Kota Cot Glie (Kuta Cot Glie)","3"
"30","Kota Jantho","3"
"31","Kota Malaka (Kuta Malaka)","3"
"32","Krueng Barona Jaya","3"
"33","Kuta Baro","3"
"34","Lembah Seulawah","3"
"35","Leupung","3"
"36","Lhoknga (Lho'nga)","3"
"37","Lhoong","3"
"38","Mantasiek (Montasik)","3"
"39","Mesjid Raya","3"
"40","Peukan Bada","3"
"41","Pulo Aceh","3"
"42","Seulimeum","3"
"43","Simpang Tiga","3"
"44","Suka Makmur","3"
"45","Darul Hikmah","4"
"46","Indra Jaya","4"
"47","Jaya","4"
"48","Keude Panga","4"
"49","Krueng Sabee","4"
"50","Pasie Raya","4"
"51","Sampoiniet","4"
"52","Setia Bakti","4"
"53","Teunom","4"
"54","Bakongan","5"
"55","Bakongan Timur","5"
"56","Kluet Selatan","5"
"57","Kluet Tengah","5"
"58","Kluet Timur","5"
"59","Kluet Utara","5"
"60","Kota Bahagia","5"
"61","Labuhan Haji","5"
"62","Labuhan Haji Barat","5"
"63","Labuhan Haji Timur","5"
"64","Meukek","5"
"65","Pasie Raja","5"
"66","Sama Dua","5"
"67","Sawang","5"
"68","Tapak Tuan","5"
"69","Trumon","5"
"70","Trumon Tengah","5"
"71","Trumon Timur","5"
"72","Danau Paris","6"
"73","Gunung Meriah (Mariah)","6"
"74","Kota Baharu","6"
"75","Kuala Baru","6"
"76","Pulau Banyak","6"
"77","Pulau Banyak Barat","6"
"78","Simpang Kanan","6"
"79","Singkil","6"
"80","Singkil Utara","6"
"81","Singkohor","6"
"82","Suro Makmur","6"
"83","Banda Mulia","7"
"84","Bandar Pusaka","7"
"85","Bendahara","7"
"86","Karang Baru","7"
"87","Kejuruan Muda","7"
"88","Kota Kuala Simpang","7"
"89","Manyak Payed","7"
"90","Rantau","7"
"91","Sekerak","7"
"92","Seruway","7"
"93","Tamiang Hulu","7"
"94","Tenggulun","7"
"95","Atu Lintang","8"
"96","Bebesen","8"
"97","Bies","8"
"98","Bintang","8"
"99","Celala","8"
"100","Jagong Jeget","8"
"101","Kebayakan","8"
"102","Ketol","8"
"103","Kute Panang","8"
"104","Linge","8"
"105","Lut Tawar","8"
"106","Pegasing","8"
"107","Rusip Antara","8"
"108","Silih Nara","8"
"109","Babul Makmur","9"
"110","Babul Rahmah","9"
"111","Babussalam","9"
"112","Badar","9"
"113","Bambel","9"
"114","Bukit Tusam","9"
"115","Darul Hasanah","9"
"116","Deleng Pokhisen","9"
"117","Ketambe","9"
"118","Lawe Alas","9"
"119","Lawe Bulan","9"
"120","Lawe Sigala-Gala","9"
"121","Lawe Sumur","9"
"122","Leuser","9"
"123","Semadam","9"
"124","Tanah Alas","9"
"125","Banda Alam","10"
"126","Birem Bayeun","10"
"127","Darul Aman","10"
"128","Darul Falah","10"
"129","Darul Iksan (Ihsan)","10"
"130","Idi Rayeuk","10"
"131","Idi Timur","10"
"132","Idi Tunong","10"
"133","Indra Makmur","10"
"134","Julok","10"
"135","Madat","10"
"136","Nurussalam","10"
"137","Pante Bidari","10"
"138","Peudawa","10"
"139","Peunaron","10"
"140","Peureulak","10"
"141","Peureulak Barat","10"
"142","Peureulak Timur","10"
"143","Rantau Selamat","10"
"144","Ranto Peureulak","10"
"145","Serbajadi","10"
"146","Simpang Jernih","10"
"147","Simpang Ulim","10"
"148","Sungai Raya","10"
"149","Baktiya","11"
"150","Baktiya Barat","11"
"151","Banda Baro","11"
"152","Cot Girek","11"
"153","Dewantara","11"
"154","Geuredong Pase","11"
"155","Kuta Makmur","11"
"156","Langkahan","11"
"157","Lapang","11"
"158","Lhoksukon","11"
"159","Matangkuli","11"
"160","Meurah Mulia","11"
"161","Muara Batu","11"
"162","Nibong","11"
"163","Nisam","11"
"164","Nisam Antara","11"
"165","Paya Bakong","11"
"166","Pirak Timur","11"
"167","Samudera","11"
"168","Sawang","11"
"169","Seunuddon (Seunudon)","11"
"170","Simpang Kramat (Keramat)","11"
"171","Syamtalira Aron","11"
"172","Syamtalira Bayu","11"
"173","Tanah Jambo Aye","11"
"174","Tanah Luas","11"
"175","Tanah Pasir","11"
"176","Bandar","12"
"177","Bener Kelipah","12"
"178","Bukit","12"
"179","Gajah Putih","12"
"180","Mesidah","12"
"181","Permata","12"
"182","Pintu Rime Gayo","12"
"183","Syiah Utama","12"
"184","Timang Gajah","12"
"185","Wih Pesam","12"
"186","Ganda Pura","13"
"187","Jangka","13"
"188","Jeumpa","13"
"189","Jeunieb","13"
"190","Juli","13"
"191","Kota Juang","13"
"192","Kuala","13"
"193","Kuta Blang","13"
"194","Makmur","13"
"195","Pandrah","13"
"196","Peudada","13"
"197","Peulimbang (Plimbang)","13"
"198","Peusangan","13"
"199","Peusangan Selatan","13"
"200","Peusangan Siblah Krueng","13"
"201","Samalanga","13"
"202","Simpang Mamplam","13"
"203","Blang Jerango","14"
"204","Blang Kejeren","14"
"205","Blang Pegayon","14"
"206","Dabun Gelang (Debun Gelang)","14"
"207","Kuta Panjang","14"
"208","Pantan Cuaca","14"
"209","Pining (Pinding)","14"
"210","Putri Betung","14"
"211","Rikit Gaib","14"
"212","Terangun (Terangon)","14"
"213","Teripe/Tripe Jaya","14"
"214","Beutong","15"
"215","Beutong Ateuh Banggalang","15"
"216","Darul Makmur","15"
"217","Kuala","15"
"218","Kuala Pesisir","15"
"219","Seunagan","15"
"220","Seunagan Timur","15"
"221","Suka Makmue","15"
"222","Tadu Raya","15"
"223","Tripa Makmur","15"
"224","Batee","16"
"225","Delima","16"
"226","Geumpang","16"
"227","Glumpang Baro","16"
"228","Glumpang Tiga (Geulumpang Tiga)","16"
"229","Grong Grong","16"
"230","Indrajaya","16"
"231","Kembang Tanjong","16"
"232","Keumala","16"
"233","Kota Sigli","16"
"234","Mane","16"
"235","Mila","16"
"236","Muara Tiga","16"
"237","Mutiara","16"
"238","Mutiara Timur","16"
"239","Padang Tiji","16"
"240","Peukan Baro","16"
"241","Pidie","16"
"242","Sakti","16"
"243","Simpang Tiga","16"
"244","Tangse","16"
"245","Tiro/Truseb","16"
"246","Titeue","16"
"247","Bandar Baru","17"
"248","Bandar Dua","17"
"249","Jangka Buya","17"
"250","Meurah Dua","17"
"251","Meureudu","17"
"252","Panteraja","17"
"253","Trienggadeng","17"
"254","Ulim","17"
"255","Alapan (Alafan)","18"
"256","Salang","18"
"257","Simeuleu Barat","18"
"258","Simeuleu Tengah","18"
"259","Simeuleu Timur","18"
"260","Simeulue Cut","18"
"261","Teluk Dalam","18"
"262","Teupah Barat","18"
"263","Teupah Selatan","18"
"264","Teupah Tengah","18"
"265","Baiturrahman","19"
"266","Banda Raya","19"
"267","Jaya Baru","19"
"268","Kuta Alam","19"
"269","Kuta Raja","19"
"270","Lueng Bata","19"
"271","Meuraxa","19"
"272","Syiah Kuala","19"
"273","Ulee Kareng","19"
"274","Langsa Barat","20"
"275","Langsa Baro","20"
"276","Langsa Kota","20"
"277","Langsa Lama","20"
"278","Langsa Timur","20"
"279","Banda Sakti","21"
"280","Blang Mangat","21"
"281","Muara Dua","21"
"282","Muara Satu","21"
"283","Sukajaya","22"
"284","Sukakarya","22"
"285","Longkib","23"
"286","Penanggalan","23"
"287","Rundeng","23"
"288","Simpang Kiri","23"
"289","Sultan Daulat","23"
"290","Abiansemal","24"
"291","Kuta","24"
"292","Kuta Selatan","24"
"293","Kuta Utara","24"
"294","Mengwi","24"
"295","Petang","24"
"296","Bangli","25"
"297","Kintamani","25"
"298","Susut","25"
"299","Tembuku","25"
"300","Banjar","26"
"301","Buleleng","26"
"302","Busungbiu","26"
"303","Gerokgak","26"
"304","Kubutambahan","26"
"305","Sawan","26"
"306","Seririt","26"
"307","Sukasada","26"
"308","Tejakula","26"
"309","Belah Batuh (Blahbatuh)","27"
"310","Gianyar","27"
"311","Payangan","27"
"312","Sukawati","27"
"313","Tampak Siring","27"
"314","Tegallalang","27"
"315","Ubud","27"
"316","Jembrana","28"
"317","Melaya","28"
"318","Mendoyo","28"
"319","Negara","28"
"320","Pekutatan","28"
"321","Abang","29"
"322","Bebandem","29"
"323","Karang Asem","29"
"324","Kubu","29"
"325","Manggis","29"
"326","Rendang","29"
"327","Selat","29"
"328","Sidemen","29"
"329","Banjarangkan","30"
"330","Dawan","30"
"331","Klungkung","30"
"332","Nusapenida","30"
"333","Baturiti","31"
"334","Kediri","31"
"335","Kerambitan","31"
"336","Marga","31"
"337","Penebel","31"
"338","Pupuan","31"
"339","Salemadeg Barat","31"
"340","Salemadeg Timur","31"
"341","Selemadeg","31"
"342","Tabanan","31"
"343","Denpasar Barat","32"
"344","Denpasar Selatan","32"
"345","Denpasar Timur","32"
"346","Denpasar Utara","32"
"347","Bakam","33"
"348","Belinyu","33"
"349","Mendo Barat","33"
"350","Merawang","33"
"351","Pemali","33"
"352","Puding Besar","33"
"353","Riau Silip","33"
"354","Sungai Liat","33"
"355","Jebus","34"
"356","Kelapa","34"
"357","Mentok (Muntok)","34"
"358","Parittiga","34"
"359","Simpang Teritip","34"
"360","Tempilang","34"
"361","Air Gegas","35"
"362","Kepulauan Pongok","35"
"363","Lepar Pongok","35"
"364","Payung","35"
"365","Pulau Besar","35"
"366","Simpang Rimba","35"
"367","Toboali","35"
"368","Tukak Sadai","35"
"369","Koba","36"
"370","Lubuk Besar","36"
"371","Namang","36"
"372","Pangkalan Baru","36"
"373","Simpang Katis","36"
"374","Sungai Selan","36"
"375","Badau","37"
"376","Membalong","37"
"377","Selat Nasik","37"
"378","Sijuk","37"
"379","Tanjung Pandan","37"
"380","Damar","38"
"381","Dendang","38"
"382","Gantung","38"
"383","Kelapa Kampit","38"
"384","Manggar","38"
"385","Simpang Pesak","38"
"386","Simpang Renggiang","38"
"387","Bukit Intan","39"
"388","Gabek","39"
"389","Gerunggang","39"
"390","Girimaya","39"
"391","Pangkal Balam","39"
"392","Rangkui","39"
"393","Taman Sari","39"
"394","Banjarsari","40"
"395","Bayah","40"
"396","Bojongmanik","40"
"397","Cibadak","40"
"398","Cibeber","40"
"399","Cigemblong","40"
"400","Cihara","40"
"401","Cijaku","40"
"402","Cikulur","40"
"403","Cileles","40"
"404","Cilograng","40"
"405","Cimarga","40"
"406","Cipanas","40"
"407","Cirinten","40"
"408","Curugbitung","40"
"409","Gunung Kencana","40"
"410","Kalanganyar","40"
