"1","Aceh"
"2","Bali"
"3","Kepulauan Bangka Belitung"
"4","Banten"
"5","Bengkulu"
"6","Daerah Istimewa Yogyakarta"
"7","Daerah Khusus Ibukota Jakarta"
"8","Gorontalo"
"9","Jambi"
"10","Jawa Barat"
"11","Jawa Tengah"
"12","Jawa Timur"
"13","Kalimantan Barat"
"14","Kalimantan Selatan"
"15","Kalimantan Tengah"
"16","Kalimantan Timur"
"17","Kalimantan Utara"
"18","Kepulauan Riau"
"19","Lampung"
"20","Maluku"
"21","Maluku Utara"
"22","Nusa Tenggara Barat"
"23","Nusa Tenggara Timur"
"24","Papua"
"25","Papua Barat"
"26","Riau"
"27","Sulawesi Barat"
"28","Sulawesi Selatan"
"29","Sulawesi Tengah"
"30","Sulawesi Tenggara"
"31","Sulawesi Utara"
"32","Sumatra Barat"
"33","Sumatra Selatan"
"34","Sumatra Utara"
